yymm,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,Target
0301 00:00,-5.327,12.25,-3.294,-7.855,-1.196,13.824,-10.249,-3.04,-5.17,8.077,16.198,-1.101,-0.067,-8.412,-0.592,-4.153,23.669,0.103,1.001,-5.861,-27.695,-9.978,-2.689,-0.951,-3.873,0.471,44.521
0301 00:10,-5.267,12.916,-3.22,-7.788,-1.196,14.424,-10.249,-3.04,-4.97,8.027,16.198,-1.168,-0.067,-8.532,-0.592,-4.079,21.669,0.073,0.935,-5.881,-37.695,-10.038,-2.652,-1.018,-3.503,0.361,35.027
0301 00:20,-5.127,13.583,-3.13,-7.658,-1.196,15.081,-10.359,-3.04,-4.83,7.977,16.198,-1.168,-0.067,-8.642,-0.665,-3.953,19.669,0.013,0.905,-5.891,-37.695,-10.001,-2.652,-1.051,-3.436,0.361,13.92
0301 00:30,-5.06,14.25,-3.13,-7.532,-1.196,14.961,-10.359,-3.04,-4.83,7.927,26.198,-1.168,-0.067,-8.762,-0.592,-3.953,17.669,-0.02,0.845,-5.911,-37.695,-10.028,-2.552,-1.111,-3.346,0.261,28.41
0301 00:40,-4.967,14.916,-3.094,-7.462,-1.196,15.454,-10.359,-3.04,-4.97,7.877,16.198,-1.168,-0.067,-8.882,-0.629,-3.916,15.669,-0.087,0.811,-5.931,-37.695,-10.111,-2.619,-1.141,-3.346,0.261,1.647
0301 00:50,-4.967,15.583,-3.02,-7.388,-1.196,15.284,-10.419,-3.04,-4.86,7.827,16.198,-1.168,-0.134,-8.992,-0.702,-3.916,13.669,-0.087,0.745,-5.941,-37.695,-10.111,-2.689,-1.208,-3.346,0.171,6.36
0301 01:00,-4.827,16.25,-2.92,-7.288,-1.196,15.351,-10.449,-3.04,-4.933,7.777,16.198,-1.268,-0.167,-9.112,-0.702,-3.953,11.669,-0.153,0.695,-5.961,-47.695,-10.171,-2.762,-1.275,-3.346,0.171,34.535
0301 01:10,-4.797,16.25,-2.92,-7.222,-1.196,14.188,-10.516,-3.04,-4.86,7.727,26.198,-1.268,-0.167,-9.242,-0.769,-3.983,9.169,-0.187,0.645,-6.111,-37.695,-10.478,-2.689,-1.341,-3.206,0.071,21.335
0301 01:20,-4.737,16.25,-2.83,-7.188,-1.196,14.048,-10.659,-3.04,-4.933,7.677,16.198,-1.268,-0.167,-9.382,-0.802,-4.043,6.669,-0.26,0.645,-6.261,-37.695,-10.744,-2.689,-1.451,-3.073,0.004,34.687
0301 01:30,-4.9,16.25,-2.89,-7.188,-1.196,14.014,-10.659,-3.04,-4.43,7.627,6.198,-1.268,-0.234,-9.512,-0.802,-4.013,4.169,-0.297,0.535,-6.411,-37.695,-10.941,-2.792,-1.551,-2.706,0.038,34.136
